year_month,date,code,close,peTTM,turn,tradestatus,pctChg,PE_inv,market_cap,roe,div_ratio,profit_growth,Quality,return,excess_return,next_excess_return,mkt_excess,SMB,year_month_str
2015-02,2015-02-27,sh.603993,12.58,36.764559,2.342586,1,3.2841,0.0272001086698741,941917798442.749,0.1245501972978876,0.0146903755911582,0.0266750115476006,4.88069799585744e-05,0.1405258386219403,0.1390258386219403,0.0787861685214626,0.0296304360285737,941917798442.749,2015-02
2015-03,2015-03-31,sh.603993,13.59,37.815517,1.874613,1,0.4435,0.0264441710528511,922915756660.3298,0.1164911530434255,0.0291290865584223,0.2788512361621583,0.0009462205681149,0.0802861685214626,0.0787861685214626,0.2133638704930097,0.1306921286359586,922915756660.3298,2015-03
2015-04,2015-04-30,sh.603993,16.51,47.849968,3.50888,1,-0.602,0.0208986555644091,900730416715.0276,0.0969111968864719,0.0334578336957538,0.1634816170121639,0.0005300791231584,0.2148638704930097,0.2133638704930097,-0.0796344639612356,0.1836053083340825,900730416715.0276,2015-04
2015-05,2015-05-29,sh.603993,15.22,44.111237,1.386304,1,-3.5488,0.0226699604910195,895997231893.9886,0.1081713910193065,0.0679114954645712,0.1687090918772292,0.0012393506426588,-0.0781344639612356,-0.0796344639612356,-0.1894106438896189,0.0367940593089737,895997231893.9886,2015-05
2015-06,2015-06-30,sh.603993,12.36,36.30607,2.268818,1,5.5508,0.0275436035902536,949271340256.1036,0.0701360532076876,-0.0083260153199541,-0.052884324656717,3.088200517241758e-05,-0.1879106438896189,-0.1894106438896189,0.2460728155339807,-0.0740369838395192,949271340256.1036,2015-06
2015-07,2015-07-31,sh.603993,15.42,49.558609,4.403412,1,0.7185,0.0201781288897757,935420900217.7,0.1308289676153635,0.0293037537048409,0.0439977391917226,0.000168677645715,0.2475728155339807,0.2460728155339807,-0.2025376134889753,-0.1449332845010149,935420900217.7,2015-07
2015-08,2015-08-31,sh.603993,12.32,54.078527,4.429506,1,-3.6747,0.0184916279247029,898517125126.8617,0.0346450827800433,0.0236886461493095,-0.0359853219738322,-2.9532977660186248e-05,-0.2010376134889753,-0.2025376134889753,-0.1540974025974026,-0.1264383824008674,898517125126.8617,2015-08
2015-09,2015-09-30,sh.603993,10.44,45.826284,0.671109,1,0.4812,0.0218215380500849,959475600989.9844,0.1093034216235273,0.0489309705543356,-0.0949948014059616,-0.0005080628342126,-0.1525974025974026,-0.1540974025974026,0.2944770114942528,-0.0492871706239515,959475600989.9844,2015-09
2015-10,2015-10-30,sh.603993,13.53,76.156357,1.462089,1,2.6555,0.0131308801969085,904354680004.5704,0.1280786735285552,0.0370963623635678,0.0312601146025485,0.0001485247096676,0.2959770114942528,0.2944770114942528,-0.6252989652623798,0.106526091619412,904354680004.5704,2015-10
2015-11,2015-11-30,sh.603993,5.09,85.950301,1.770518,1,-1.5474,0.0116346305756392,871466894326.1755,0.0900665433088548,0.0418072441622989,0.1649024770192667,0.0006209293882054,-0.6237989652623799,-0.6252989652623798,-0.1252721021611001,0.0170788223774825,871466894326.1755,2015-11
2015-12,2015-12-31,sh.603993,4.46,75.312052,0.338958,1,-0.4464,0.0132780872840909,875685409424.4487,0.1185433896235512,0.0369017237203016,0.0354722961151593,0.0001551719777438,-0.1237721021611001,-0.1252721021611001,-0.2840112107623317,0.0257179903378557,875685409424.4487,2015-12
2016-01,2016-01-29,sh.603993,3.2,54.035553,0.423046,1,4.5752,0.0185063341537376,865683371605.0354,0.0504332803882874,0.0113601774943292,0.0852994661150054,4.887070985651539e-05,-0.2825112107623317,-0.2840112107623317,0.00475,-0.2279879285665444,865683371605.0354,2016-01
2016-02,2016-02-29,sh.603993,3.22,54.373275,0.416468,1,-3.012,0.0183913880486323,897829447751.189,0.0517086614552017,0.0542253099298602,0.288982962182278,0.0008102845852647,0.00625,0.00475,0.1103012422360248,-0.01962573056692,897829447751.189,2016-02
2016-03,2016-03-31,sh.603993,3.58,79.426357,1.034995,1,1.9943,0.0125902790681939,966375667710.298,0.1118358560513196,0.0459700980923133,0.0498491162618592,0.000256279554464,0.1118012422360248,0.1103012422360248,-0.0601592178770949,0.1160366325406561,966375667710.298,2016-03
2016-04,2016-04-29,sh.603993,3.37,95.211279,,0,0.0,0.0105029573229449,873586221518.0245,0.1339274827310526,0.0483105958344948,-0.1167933261975782,-0.0007556664256771,-0.0586592178770949,-0.0601592178770949,0.1439005934718101,-0.02333517176751,873586221518.0245,2016-04
2016-05,2016-05-31,sh.603993,3.86,109.055056,1.330591,1,4.607,0.009169680312667,918804986250.662,0.0062567172249144,0.0552810034101432,0.2626907043202478,9.08588319935728e-05,0.1454005934718101,0.1439005934718101,0.0736295336787565,-0.0088878850664528,918804986250.662,2016-05
